TEAM,OVR,DEF,OFF
Tampa Bay Buccaneers,92,90,92
Kansas City Chiefs,90,78,96
Green Bay Packers,89,85,91
Baltimore Ravens,88,85,84
Cleveland Browns,87,79,89
Buffalo Bills,86,82,86
Dallas Cowboys,86,76,88
Arizona Cardinals,85,84,83
Tennessee Titans,85,80,87
Los Angeles Chargers,84,80,82
Los Angeles Rams,84,83,81
New Orleans Saints,84,83,80
New England Patriots,83,86,78
San Francisco 49ers,83,84,80
Denver Broncos,82,86,72
Seattle Seahawks,82,77,85
Las Vegas Raiders,81,75,82
Washington Football Team,81,81,76
Indianapolis Colts,80,78,75
Pittsburgh Steelers,80,88,74
Chicago Bears,79,87,73
Miami Dolphins,79,79,70
Minnesota Vikings,78,81,77
New York Giants,78,82,72
Atlanta Falcons,77,73,79
Houston Texans,76,72,78
Philadelphia Eagles,76,77,73
Cincinnati Bengals,75,74,74
Jacksonville Jaguars,75,75,76
Detroit Lions,74,74,75
Carolina Panthers,73,76,71
New York Jets,72,74,69
