"Player_Name","Team","Position","Overall_Rating","Age","Annual_Salary"
1,"Los Angeles Rams","RE",99,29,22500000
2,"New England Patriots","CB",99,29,13000000
3,"Carolina Panthers","HB",99,24,16015853
4,"Kansas Chiefs","QB",99,24,45000000
5,"New Orleans Saints","WR",99,27,19250000
6,"St. Louis Cardinals","WR",98,28,27250000
7,"Houston Texans","LE",98,31,14000000
8,"Dallas Cowboys","RG",98,29,14000000
9,"San Francisco 49ers","TE",98,26,15000000
10,"Seattle Seahawks","MLB",98,30,18000000
11,"Seattle Seahawks","QB",97,31,35000000
12,"Kansas Chiefs","TE",97,30,14312500
13,"Chicago Bears","LOLB",97,29,23500000
14,"Denver Broncos","LOLB",97,31,19083333
15,"Atlanta Falcons","WR",97,31,22000000
16,"New Orleans Saints","LE",96,31,17500000
17,"Philadelphia Eagles","DT",96,29,17100000
18,"Kansas Chiefs","WR",96,26,18000000
19,"Green Bay Packers","LT",96,28,23000000
20,"Minnesota Vikings","SS",95,31,16000000
21,"St. Louis Cardinals","LOLB",95,30,16500000
22,"Baltimore Ravens","RE",95,34,8000000
23,"New Orleans Saints","LT",95,29,13000000
24,"Los Angeles Rams","CB",94,25,20000000
25,"Green Bay Packers","WR",94,27,14500000
26,"Baltimore Ravens","QB",94,23,2367913
27,"Philadelphia Eagles","C",94,32,9000000
28,"Indianapolis Colts","LG",94,24,5972228
29,"Dallas Cowboys","WR",93,26,20000000
30,"Philadelphia Eagles","RG",93,31,14050000
31,"Kansas Chiefs","SS",93,28,14000000
32,"Baltimore Ravens","LT",93,26,19750000
33,"Cleveland Browns","RE",93,24,25000000
34,"Tennessee Titans","HB",93,26,12500000
35,"Las Vegas Raiders","C",93,31,10000000
36,"New York Jets","SS",92,24,17500000
37,"Buffalo Bills","WR",92,26,14400000
38,"San Francisco 49ers","CB",92,32,1350000
39,"Tampa Bay Buccaneers","WR",92,27,16500000
40,"Dallas Cowboys","HB",92,25,15000000
41,"Kansas Chiefs","DT",92,26,20000000
42,"New England Patriots","FS",92,33,11500000
43,"Cleveland Browns","HB",92,24,12200000
44,"San Francisco 49ers","LT",92,32,23010000
45,"Minnesota Vikings","HB",91,25,12600000
46,"New York Giants","HB",91,23,7798688
47,"Los Angeles Chargers","LE",91,25,27000000
48,"Los Angeles Chargers","WR",91,28,20025000
49,"New Orleans Saints","RT",91,26,19200000
50,"Minnesota Vikings","DT",91,27,9000000
51,"Tennessee Titans","FS",91,27,14100000
52,"Dallas Cowboys","LT",91,29,12200000
53,"Las Vegas Raiders","LG",90,37,2120000
54,"Minnesota Vikings","WR",90,30,16200000
55,"Tampa Bay Buccaneers","QB",90,43,25000000
56,"Green Bay Packers","HB",90,25,12000000
57,"Atlanta Falcons","DT",90,27,17000000
58,"Pittsburgh Steelers","RE",90,31,16400000
59,"Buffalo Bills","CB",90,25,17250000
60,"Denver Broncos","FS",90,26,15250000
61,"Tampa Bay Buccaneers","MLB",90,30,12500000
62,"Green Bay Packers","DT",90,24,17500000
63,"Green Bay Packers","CB",90,23,3012684
64,"Baltimore Ravens","CB",89,24,19500000
65,"Green Bay Packers","QB",89,36,33500000
66,"Los Angeles Rams","WR",89,27,15750000
67,"New Orleans Saints","ROLB",89,31,9000000
68,"San Francisco 49ers","RE",89,22,8387967
69,"Cincinnati Bengals","HB",89,24,12000000
70,"Cleveland Browns","TE",89,25,10500000
71,"Atlanta Falcons","C",89,34,4950000
72,"Chicago Bears","FS",89,26,14600000
73,"Tampa Bay Buccaneers","LG",89,27,10825000
74,"Philadelphia Eagles","RT",89,30,18000000
75,"Minnesota Vikings","LE",89,25,14400000
76,"Minnesota Vikings","MLB",89,28,10000000
77,"Los Angeles Chargers","RT",88,31,10000000
78,"New York Giants","TE",88,25,2679637
79,"Green Bay Packers","LOLB",88,27,16500000
80,"St. Louis Cardinals","CB",88,30,8000000
81,"Chicago Bears","LE",88,30,12000000
82,"New England Patriots","MLB",88,30,8875000
83,"Buffalo Bills","FS",88,29,9625000
84,"Las Vegas Raiders","HB",88,22,2983350
85,"Seattle Seahawks","WR",88,27,17250000
86,"Miami Dolphins","CB",88,27,16500000
87,"Cincinnati Bengals","WR",88,32,6000000
88,"New Orleans Saints","HB",88,25,15000000
89,"San Francisco 49ers","MLB",87,23,19045000
90,"Indianapolis Colts","DT",87,26,21000000
91,"Jacksonville Jaguars","C",87,28,10340600
92,"Cleveland Browns","HB",87,25,6000000
93,"Tampa Bay Buccaneers","DT",87,25,17750000
94,"Dallas Cowboys","RT",87,27,10000000
